size,time,flop,bandwith
200,0.000000,inf,inf
500,0.000100,4.995000,40.040000
900,0.001500,1.079400,8.644800
1300,0.001100,3.071545,24.591273
1700,0.001600,3.611438,28.908500
2100,0.002500,3.527160,28.230720
2500,0.003900,3.204487,25.646154
2900,0.004600,3.655891,29.257217
3300,0.006100,3.569951,28.568262
3700,0.007500,3.650173,29.209280
4100,0.009900,3.395545,27.170990
4500,0.012000,3.374625,27.003000
4900,0.014800,3.244264,25.959405
5300,0.018700,3.003995,24.036492
5700,0.020500,3.169478,25.360273
6100,0.020900,3.560474,28.488459
6500,0.024100,3.505954,28.051950
6900,0.029000,3.283210,26.269490
7300,0.032800,3.249168,25.996902
7700,0.035100,3.378128,27.028536
8100,0.038800,3.381750,27.057340
8500,0.041200,3.507075,28.059903
8900,0.045700,3.466326,27.733724
9300,0.049900,3.466347,27.733756
9700,0.054700,3.440042,27.523174
10100,0.058200,3.505325,28.045375
10500,0.063500,3.472276,27.780850
10900,0.068000,3.494251,27.956576
11300,0.076300,3.346903,26.777594
11700,0.083800,3.266925,26.137632
12100,0.104600,2.799311,22.396337
12500,0.092000,3.396603,27.175000
12900,0.099200,3.354910,26.841363
13300,0.107000,3.306231,26.451836
13700,0.115700,3.244307,25.956349
14100,0.125200,3.175766,25.407930
14500,0.131300,3.202479,25.621599
14900,0.137800,3.222098,25.778514
15300,0.151200,3.096327,24.772238
15700,0.155700,3.166116,25.330543
16100,0.162700,3.186256,25.491634
16500,0.172600,3.154597,25.238308
16900,0.188000,3.038314,24.307953
17300,0.196000,3.053891,24.432543
17700,0.202300,3.097194,24.778950
18100,0.212800,3.078956,24.633011
18300,0.242400,2.763043,22.105554
18500,0.212900,3.215038,25.721691
19300,0.231700,3.215195,25.722893
19700,0.244100,3.179682,25.438745
20500,0.276400,3.040809,24.327656
20900,0.270800,3.225994,25.809185
21300,0.282600,3.210753,25.687227
22100,0.307100,3.180716,25.446880
22500,0.324200,3.123003,24.985133
23000,0.331600,3.190522,25.525283
