size,time,flop,bandwith
200,0.000000,inf,inf
500,0.000000,inf,inf
900,0.000300,5.397000,43.224000
1300,0.001200,2.815583,22.542000
1700,0.001700,3.399000,27.208000
2100,0.002600,3.391500,27.144923
2500,0.003600,3.471528,27.783333
2900,0.004400,3.822068,30.587091
3300,0.008500,2.561965,20.501929
3700,0.008300,3.298349,26.393928
4100,0.010100,3.328307,26.632950
4500,0.012400,3.265766,26.131935
4900,0.014300,3.357699,26.867077
5300,0.017900,3.138251,25.110749
5700,0.018600,3.493242,27.950839
6100,0.024900,2.988510,23.912000
6500,0.025900,3.262297,26.102394
6900,0.034600,2.751824,22.017780
7300,0.030800,3.460153,27.685013
7700,0.036400,3.257481,26.063231
8100,0.039100,3.355803,26.849739
8500,0.045400,3.182632,25.464053
8900,0.050400,3.143077,25.147444
9300,0.052200,3.313615,26.511770
9700,0.061000,3.084759,24.680616
10100,0.060600,3.366500,26.934667
10500,0.079400,2.776946,22.217683
10900,0.075900,3.130555,25.046735
11300,0.083100,3.073029,24.586407
11700,0.085900,3.187058,25.498645
12100,0.095700,3.059644,24.479172
12500,0.098500,3.172462,25.381726
12900,0.106000,3.139690,25.119464
13300,0.111900,3.161454,25.293534
13700,0.120000,3.128053,25.026247
14100,0.122800,3.237833,25.904502
14500,0.130900,3.212265,25.699893
14900,0.141900,3.129000,25.033680
15300,0.148800,3.146268,25.171790
15700,0.158900,3.102356,24.820425
16100,0.171900,3.015729,24.127334
16500,0.179200,3.038412,24.308772
16900,0.207200,2.756772,22.055479
17300,0.194400,3.079026,24.633634
17700,0.204700,3.060881,24.488430
18100,0.214700,3.051709,24.415020
18300,0.215900,3.102185,24.818835
18500,0.223200,3.066673,24.534713
19300,0.239600,3.109185,24.874768
19700,0.248600,3.122125,24.978269
20500,0.279000,3.012471,24.100946
20900,0.298300,2.928592,23.429860
21300,0.313800,2.891519,23.133239
22100,0.316200,3.089177,24.714538
22500,0.324800,3.117234,24.938978
23000,0.348000,3.040164,24.322368
