size,time,flop,bandwith
100,3.45e-06,5.76812,5.76812
500,0.00012235,4.08255,4.08255
900,0.00064566,2.50767,2.50767
1300,0.00119486,2.8277,2.8277
1700,0.00182834,3.16041,3.16041
2100,0.00273798,3.22059,3.22059
2500,0.00433642,2.88199,2.88199
2900,0.00566382,2.96922,2.96922
3300,0.00866796,2.51232,2.51232
3700,0.00972803,2.81417,2.81417
4100,0.011761,2.85825,2.85825
4500,0.0139924,2.89412,2.89412
4900,0.0166587,2.88228,2.88228
5300,0.021276,2.64029,2.64029
5700,0.0221989,2.92692,2.92692
6100,0.0261994,2.84029,2.84029
6500,0.0308038,2.74296,2.74296
6900,0.0326975,2.91193,2.91193
7300,0.0397388,2.68183,2.68183
7700,0.0425113,2.7892,2.7892
8100,0.046748,2.80679,2.80679
8500,0.0545065,2.6509,2.6509
8900,0.0559526,2.83117,2.83117
9300,0.0602102,2.87278,2.87278
9700,0.0649103,2.89893,2.89893
10100,0.0697424,2.92519,2.92519
10500,0.0757518,2.91068,2.91068
10900,0.0820575,2.89564,2.89564
11300,0.0924516,2.76219,2.76219
11700,0.0966237,2.83335,2.83335
12100,0.103208,2.83707,2.83707
12500,0.112169,2.78586,2.78586
12900,0.117693,2.82776,2.82776
13300,0.129137,2.73948,2.73948
13700,0.131319,2.85843,2.85843
14100,0.138843,2.86372,2.86372
14500,0.154941,2.71385,2.71385
14900,0.156434,2.8383,2.8383
15300,0.174498,2.68293,2.68293
15700,0.171981,2.86639,2.86639
16100,0.190252,2.72483,2.72483
16500,0.196607,2.7694,2.7694
16900,0.203862,2.80191,2.80191
17300,0.215418,2.7786,2.7786
17700,0.246492,2.54192,2.54192
18100,0.23574,2.77934,2.77934
18300,0.242353,2.76358,2.76358
18500,0.265178,2.58122,2.58122
19300,0.276667,2.69262,2.69262
19700,0.298051,2.60412,2.60412
20500,0.313857,2.67791,2.67791
20900,0.325812,2.6813,2.6813
21300,0.353641,2.56576,2.56576
22100,0.475285,2.05518,2.05518
22500,0.388727,2.6046,2.6046
23000,0.423147,2.50026,2.50026
