size,time,flop,bandwith
200,1.616e-05,4.93812,39.505
500,0.00010728,4.65604,37.2483
900,0.00044595,3.63068,29.0454
1300,0.00096404,3.50473,28.0378
1700,0.00192569,3.00064,24.0051
2100,0.00321627,2.74165,21.9332
2500,0.0040084,3.11783,24.9426
2900,0.00549896,3.05823,24.4659
3300,0.00724862,3.00425,24.034
3700,0.00897205,3.05129,24.4103
4100,0.0115366,2.91385,23.3108
4500,0.0130579,3.10122,24.8098
4900,0.0158979,3.02021,24.1617
5300,0.0183966,3.05354,24.4283
5700,0.0230003,2.82493,22.5994
6100,0.0298146,2.49589,19.9671
6500,0.0301497,2.80246,22.4197
6900,0.0310509,3.06635,24.5308
7300,0.0414025,2.57407,20.5925
7700,0.040987,2.89293,23.1434
8100,0.0446044,2.94168,23.5335
8500,0.0489761,2.95025,23.602
8900,0.051938,3.05001,24.4
9300,0.0581562,2.97425,23.794
9700,0.0681078,2.76283,22.1027
10100,0.0677328,3.01198,24.0958
10500,0.0738267,2.98658,23.8927
10900,0.0798468,2.97581,23.8065
11300,0.0921428,2.77144,22.1716
11700,0.0967376,2.83001,22.6401
12100,0.0971729,3.01327,24.1061
12500,0.105182,2.97092,23.7674
12900,0.110512,3.01151,24.092
13300,0.121285,2.91683,23.3347
13700,0.127481,2.94449,23.5559
14100,0.135109,2.94285,23.5428
14500,0.140608,2.99048,23.9238
14900,0.161509,2.74911,21.9929
15300,0.160361,2.91944,23.3555
15700,0.177737,2.77357,22.1885
16100,0.182292,2.84381,22.7505
16500,0.193143,2.81906,22.5525
16900,0.20636,2.76799,22.1439
17300,0.20776,2.88103,23.0483
17700,0.221994,2.82242,22.5794
18100,0.229477,2.8552,22.8416
18300,0.253688,2.6401,21.1208
18500,0.242838,2.81868,22.5494
19300,0.260499,2.85975,22.878
19700,0.282175,2.75063,22.005
20500,0.306166,2.74518,21.9614
20900,0.328084,2.66273,21.3018
21300,0.328389,2.76306,22.1045
22100,0.355798,2.74537,21.963
22500,0.366864,2.75982,22.0785
23000,0.379771,2.78583,22.2866
