size,time,flop,bandwith
100,3.52e-06,300562,300562
500,9.165e-05,11543.7,11543.7
900,0.00078983,1339.5,1339.5
1300,0.00119316,886.702,886.702
1700,0.00197082,536.821,536.821
2100,0.00292404,361.82,361.82
2500,0.0044954,235.347,235.347
2900,0.00630151,167.893,167.893
3300,0.00827645,127.83,127.83
3700,0.00961026,110.088,110.088
4100,0.0126331,83.7467,83.7467
4500,0.0140747,75.1689,75.1689
4900,0.0168522,62.7797,62.7797
5300,0.019075,55.4641,55.4641
5700,0.0224714,47.081,47.081
6100,0.0254396,41.5878,41.5878
6500,0.0284362,37.2053,37.2053
6900,0.0342142,30.9222,30.9222
7300,0.036144,29.2712,29.2712
7700,0.0417777,25.324,25.324
8100,0.0443467,23.8569,23.8569
8500,0.0507855,20.8323,20.8323
8900,0.0538846,19.6341,19.6341
9300,0.0587901,17.9958,17.9958
9700,0.0645999,16.3774,16.3774
10100,0.0717906,14.737,14.737
10500,0.0806551,13.1173,13.1173
10900,0.0835936,12.6562,12.6562
11300,0.0902192,11.7267,11.7267
11700,0.0948779,11.1509,11.1509
12100,0.1023,10.3419,10.3419
12500,0.111575,9.48222,9.48222
12900,0.118292,8.9438,8.9438
13300,0.124555,8.49407,8.49407
13700,0.128437,8.23734,8.23734
14100,0.139978,7.55814,7.55814
14500,0.147693,7.16333,7.16333
14900,0.154881,6.83089,6.83089
15300,0.166464,6.35557,6.35557
15700,0.182192,5.80693,5.80693
16100,0.183076,5.77889,5.77889
16500,0.199906,5.29238,5.29238
16900,0.206384,5.12625,5.12625
17300,0.214005,4.94371,4.94371
17700,0.227261,4.65533,4.65533
18100,0.240058,4.40718,4.40718
18300,0.245142,4.31578,4.31578
18500,0.252618,4.18805,4.18805
19300,0.273479,3.86859,3.86859
19700,0.283541,3.7313,3.7313
20500,0.323492,3.27049,3.27049
20900,0.32299,3.27557,3.27557
21300,0.339396,3.11723,3.11723
22100,0.368704,2.86945,2.86945
22500,0.416303,2.54136,2.54136
23000,0.522802,2.02367,2.02367
