size,time,flop,bandwith
200,1.544e-05,68521.8,548175
500,9.889e-05,10698.5,85588.2
900,0.00043224,2447.66,19581.3
1300,0.00104346,1013.91,8111.3
1700,0.0017448,606.36,4850.88
2100,0.00272735,387.914,3103.31
2500,0.00418862,252.584,2020.67
2900,0.00567455,186.442,1491.54
3300,0.00729801,144.968,1159.74
3700,0.00917649,115.292,922.337
4100,0.0106778,99.0817,792.654
4500,0.0133285,79.3769,635.015
4900,0.015362,68.8699,550.959
5300,0.0178834,59.1599,473.279
5700,0.0219944,48.1021,384.817
6100,0.0251651,42.0414,336.331
6500,0.0268417,39.4155,315.324
6900,0.0304392,34.7571,278.057
7300,0.0340531,31.0685,248.548
7700,0.0385947,27.4125,219.3
8100,0.0420566,25.156,201.248
8500,0.0464318,22.7856,182.285
8900,0.0518117,20.4197,163.357
9300,0.0559972,18.8934,151.147
9700,0.0601517,17.5885,140.708
10100,0.0671832,15.7476,125.981
10500,0.0707255,14.9589,119.671
10900,0.0780691,13.5518,108.414
11300,0.0835315,12.6656,101.325
11700,0.0901574,11.7348,93.8782
12100,0.0951523,11.1188,88.9502
12500,0.103079,10.2637,82.1097
12900,0.10743,9.84809,78.7848
13300,0.115903,9.12815,73.0252
13700,0.126225,8.3817,67.0536
14100,0.131665,8.03535,64.2828
14500,0.137169,7.71292,61.7033
14900,0.149253,7.08849,56.7079
15300,0.155607,6.79905,54.3924
15700,0.164416,6.43474,51.4779
16100,0.170422,6.208,49.664
16500,0.179121,5.90649,47.2519
16900,0.188199,5.62158,44.9727
17300,0.200195,5.28474,42.2779
17700,0.209645,5.04651,40.3721
18100,0.220869,4.79007,38.3205
18300,0.226415,4.67273,37.3818
18500,0.231381,4.57244,36.5795
19300,0.254694,4.15391,33.2313
19700,0.26533,3.98739,31.8992
20500,0.289865,3.64989,29.1991
20900,0.30577,3.46005,27.6804
21300,0.318038,3.32657,26.6126
22100,0.345709,3.06031,24.4825
22500,0.373743,2.83076,22.6461
23000,0.3852,2.74657,21.9725
